Unnamed: 0,non,lin,Mac,sim,lgb,svr,cat,dct, extra,lstm,min_smape,selected_model,Null_points
NX1314,52.35560835,53.31908491,39.33154297,43.11829448,48.72934867,47.69345939,1000,46.51092632,48.72934869,1000,39.33154297,Mac,8760
NX1315,31.639627500000003,41.13273296,31.95209451,30.51981046,33.32378327,33.28285751,1000,46.04488079,33.32378327,1000,30.51981046,sim,8760
NX1316,38.71224125,42.66227081,35.41433812,32.67170242,35.50378617,36.33711658,1000,46.77974523,35.50378613,1000,32.67170242,sim,8760
NX1317,43.49231734,42.735057899999994,39.41790096,37.65676844,39.83612215,40.52967247,1000,51.59405927,39.83612213,1000,37.65676844,sim,8760
NX1318,30.50474815,31.55191266,28.91915999,27.76542645,29.75125736,33.40322596,1000,37.2020657,29.75125737,1000,27.76542645,sim,8760
NX1319,31.34992711,30.5786547,28.29630448,25.90688556,27.39456132,31.03359867,1000,40.90976289,27.39456133,1000,25.90688556,sim,8760
NX1320,20.69233582,12.47692571,12.381768600000001,10.477745800000001,13.043018,11.3844801,1000,14.20807953,13.04301801,1000,10.477745800000001,sim,8760
NX1321,29.72576605,34.39173145,29.78801039,30.82283287,32.99571319,32.23629657,1000,38.15640326,32.99571323,1000,29.72576605,non,8760
NX1322,37.98430405,41.53592155,33.82864124,31.96464567,34.54287545,39.25810972,1000,43.39665826,34.54287539,1000,31.96464567,sim,8760
NX1323,24.95750844,28.16368687,23.62023912,22.55885531,24.92912911,30.43508127,1000,31.88676552,24.92912909,1000,22.55885531,sim,8760
NX1324,81.83598137,103.4371248,58.89444449,52.91067516,76.50843912,66.85707904,1000,68.9089078,76.50843901,1000,52.91067516,sim,8760
NX1325,33.46610004,29.50408015,26.97887576,25.869357,27.15930984,27.59527867,1000,34.70591996,27.15930984,1000,25.869357,sim,8760
NX1326,6.566481584,7.026308741,6.966899442000001,10.93252723,11.15714023,11.92195092,1000,10.03299999,11.15714022,1000,6.566481584,non,8760
